dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
3527,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South;West,5.92,4.44,1.48,,2011-11-22,,2008,2075.0,,,,,, , ,yes,yes, , ,,,,2012-04-11 18:57:52-05,2019-03-30 13:12:07.750551-05,,,2012-05-02 19:00:00-05,2019-02-26 02:40:00-06,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,
3538,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,South;West,5.25,1.75,3.5,,2011-11-22,,2007,1720.0,1720.0,0.0,0.0,0.0,0.0, , ,yes,yes, ,yes,,,,2012-11-17 17:44:41-06,2016-01-26 10:48:15-06,,,2014-04-26 00:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,,yes,,,,yes,,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,yes,,,,,,,,yes,,yes,,yes,,,,,
3635,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,6.86,3.43,3.43,,2011-11-22,,2007,2521.0,2521.0,0.0,0.0,0.0,0.0, , ,yes, , , ,,,,2012-04-12 18:57:44-05,2019-04-18 18:10:18.617963-05,,,2012-05-15 19:00:00-05,2019-03-18 02:42:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,6.25,,2.25,,2011-11-22,,2007,2843.0,,,,,, , ,yes, , , ,,,,2012-04-12 15:13:21-05,2015-05-16 15:03:39-05,,,2012-05-15 19:00:00-05,2018-04-06 04:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
3723,yes,Single-Family Home,,,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,6.11,3.29,2.82,,2011-11-22,,2008,1544.0,,,,,, , ,yes,yes,yes, ,,,,2012-04-11 18:59:55-05,2019-04-18 18:33:30.190176-05,2012-05-01 18:00:00-05,2015-10-28 23:31:00-05,2012-05-29 15:09:00-05,2019-03-29 02:35:00-05,yes,yes,yes,yes,,,,,,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,yes,,,,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,,,yes,,,,yes,yes,,,,
3935,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South;West,4.655,,3.185,,2011-11-22,,2008,1544.0,1096.0,448.0,0.0,0.0,0.0, , ,yes,yes, , ,,,,2012-04-11 18:59:10-05,2019-04-18 18:25:29.877727-05,,,2012-05-15 19:00:00-05,2019-03-18 02:42:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4193,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,South;West,4.75,2.5,2.25,,2011-11-22,,2008,2669.0,,,,,, , ,yes, , , ,,,,2012-04-11 18:55:28-05,2019-04-17 03:45:42.34456-05,,,2012-05-02 19:00:00-05,2017-06-18 03:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
4373,yes,Single-Family Home,,,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,6.125,,3.92,,2011-11-22,,2008,2122.0,,,,,, , ,yes,yes, ,yes,,,,2012-04-11 18:59:58-05,2019-04-18 14:32:55.754508-05,,,2012-05-31 19:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,yes,yes,,,yes,yes,,,,yes,yes,yes,yes,,yes,,yes,,,,,,,,yes,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
4526,yes,Single-Family Home,,,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,6.105,,4.07,,2011-11-22,,2009,2521.0,1476.0,1045.0,,,, ,yes, , , , ,,,,2012-04-11 18:59:04-05,2014-09-25 08:00:44-05,,,2012-08-18 19:00:00-05,2019-02-27 02:59:00-06,yes,yes,yes,yes,yes,,,,,,,,,,,yes,yes,,,,yes,,yes,yes,,yes,yes,yes,,,,,,,,yes,yes,yes,yes,yes,yes,,,yes,,yes,,,,yes,,,,,,,yes,yes,,,,,,yes,,,
4732,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,South;West,4.0,2.0,2.0,,2011-11-22,,2008,1422.0,,,,,, , ,yes, ,yes, ,,,,2012-04-11 18:56:48-05,2019-04-07 21:47:27.920371-05,2012-05-01 13:00:00-05,2017-05-21 21:41:00-05,2014-05-24 00:00:00-05,2019-03-14 02:44:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
